"Title","Developer","Publisher","First released","JP","EU / PAL","NA"
"Basketball Xciting•Simple 2000 Series Vol. 30: The Street Baske – 3 on 3JP","Tamsoft","D3 PublisherJP, AgetecEU","2003-05-29JP","✔","✔",""
"Bass Landing 3","Sammy Studios","Sammy Studios","2003-02-27JP","✔","",""
"Bass Strike","THQ","THQEU, NA, CapcomJP","2001-09-26NA","✔","✔","✔"
"Batman Begins","Eurocom","Electronic Arts","2005-06-14NA","","✔","✔"
"Batman: Rise of Sin Tzu","Ubisoft Montreal","Ubisoft","2003-10-16NA","","✔","✔"
"Batman: Vengeance","Ubisoft Montreal","Ubisoft","2001-10-15NA","","✔","✔"
"Battle Assault 3 featuring Gundam Seed","Natsume Co., Ltd.","Bandai","2004-12-07NA","","","✔"
"Battle Engine Aquila","Lost Toys","Infogrames","2003-01-19NA","","✔","✔"
"Battle Gear 3","Nex Entertainment","Taito","2003-12-25JP","✔","",""
"Battle of Sunrise","Sunrise Interactive","Sunrise Interactive","2008-04-10JP","✔","",""
"The Battle of Yuu Yuu Hakusho: Shitou! Ankoku Bujutsukai! 120%","Dimps Corporation","Banpresto","2007-01-11JP","✔","",""
"Battle Stadium D.O.N","Eighting","Namco Bandai Games","2006-07-20JP","✔","",""
"Battlefield 2: Modern Combat","DICE","EA Games","2005-10-24NA","✔JP, KO","✔","✔"
"Battlestar Galactica","Warthog","Universal Interactive","2003-11-19NA","","✔","✔"
"BCV: Battle Construction Vehicles•Kensetsu Juuki Kenka Battle: Buchigire Kongou!!JP","Artdink","ArtdinkJP, Midas Interactive EntertainmentEU","2000-06-01JP","✔","✔",""
"Beach King Stunt Racer","Davilex","Davilex","2005-08-28EU","","✔",""
"Beast Sapp","Nippon Amuse","Nippon Amuse","2004-05-27JP","✔","",""
"Beat Down: Fists of Vengeance•Beat DownJP","Cavia","Capcom","2003-08-23NA","✔","✔","✔"
"Beatmania","Konami","Konami","2006-03-28NA","","","✔"
"BeatMania Da Da Da!!","Konami Digital Entertainment","Konami Digital Entertainment","2001-03-29JP","✔","",""
"BeatMania Da Da Da!! The Best Da","Konami Digital Entertainment","Konami Digital Entertainment","2002-05-16JP","✔","",""
"Beatmania IIDX 3rd Style","Konami Computer Entertainment Japan","Konami","2000-11-02JP","✔","",""
"Beatmania IIDX 4th Style: New Songs Collection","Konami Computer Entertainment Japan","Konami","2001-03-29JP","✔","",""
"Beatmania IIDX 5th Style: New Songs Collection","Konami Computer Entertainment Japan","Konami","2001-08-30JP","✔","",""
"Beatmania IIDX 6th Style: New Songs Collection","Konami Computer Entertainment Japan","Konami","2002-07-18JP","✔","",""
"Beatmania IIDX 7th Style","Konami Computer Entertainment Studios","Konami","2004-03-13JP","✔","",""
"Beatmania IIDX 8th Style","Konami Computer Entertainment Studios","Konami","2004-11-18JP","✔","",""
"Beatmania IIDX 9th Style","Konami Computer Entertainment Studios","Konami","2005-03-21JP","✔","",""
"Beatmania IIDX 10th Style","Konami","Konami","2005-11-17JP","✔","",""
"Beatmania IIDX 11: IIDX RED","Konami Digital Entertainment","Konami Digital Entertainment","2006-05-18JP","✔","",""
"Beatmania IIDX 12: Happy Sky","Konami Digital Entertainment","Konami Digital Entertainment","2006-12-14JP","✔","",""
"Beatmania IIDX 13: Distorted","Konami Digital Entertainment","Konami Digital Entertainment","2007-08-30JP","✔","",""
"Beatmania IIDX 14: Gold","Konami Digital Entertainment","Konami Digital Entertainment","2008-05-29JP","✔","",""
"Beatmania IIDX 15: DJ Troopers","Konami Digital Entertainment","Konami Digital Entertainment","2008-12-18JP","✔","",""
"Beatmania IIDX 16: Empress + Premium Best","Konami Digital Entertainment","Konami Digital Entertainment","2009-10-15JP","✔","",""
"Beck: The Game","Flagship","Marvelous Entertainment","2005-03-31JP","✔","",""
"Bee Movie Game","Beenox","Activision","2007-10-30NA","","✔","✔"
"Ben 10: Alien Force","Monkey Bar Games","D3Publisher","2008-10-28NA","","✔","✔"
"Ben 10: Protector Of Earth","High Voltage Software","D3 Publisher","2007-10-30NA","","✔","✔"
"Ben 10 Alien Force: Vilgax Attacks","Papaya Studio","D3Publisher","2009-10-27NA","","✔","✔"
"Ben 10 Ultimate Alien: Cosmic Destruction","Papaya Studio","D3 Publisher","2010-10-05NA","","✔","✔"
"Ben Hur: Blood of Braves","Microids","Microids","2003-02-28EU","","✔",""
"Berserk: Millennium Falcon Hen Seima Senki no Shō","Yuke's","Sammy Studios","2004-10-07JP","✔","",""
"Beta Bloc•Simple 2000 Series Vol. 106: The Block Kuzushi Quest – Dragon KingdomJP","Tamsoft","D3 PublisherJP, Essential GamesEU","2006-09-14JP","✔","✔",""
"Beverly Hills Cop","Atomic Planet Entertainment","Blast! Entertainment Ltd","2006EU","","✔",""
"Beyond Good & Evil","Ubisoft Montpellier","Ubisoft","2003-11-11NA","","✔","✔"
"Biathlon 2008•RTL Biathlon 2008EU","49Games","RTLEU, Conspiracy EntertainmentNA","2007EU","","✔","✔"
"The Bible Game","Crave Entertainment","Crave Entertainment","2005-10-23NA","","✔","✔"
"Big Idea's Veggie Tales: LarryBoy and the Bad Apple","Papaya Studio","Crave Entertainment","2006-08-08NA","","","✔"
"Big Mutha Truckers•Bakusou Convoy Densetsu – Otoko Hanamichi America RomanJP","Eutechnyx","Empire InteractiveEU, THQNA, SpikeJP","2003-06-16NA","✔","✔","✔"
"Big Mutha Truckers 2•Big Mutha Truckers 2: Truck Me HarderEU","Eutechnyx","XplosivEU, THQNA","2005-06-24EU","","✔","✔"
"The Bigs","Blue Castle Games","2K Sports","2007-06-25NA","","","✔"
"The Bigs 2","Blue Castle Games","2K Sports","2009-07-07NA","","","✔"
"Biker Mice from Mars","Creat Studios","The Game Factory","2006-11-17EU","","✔","✔"
"Bikkuri Mouse","Sony Computer Entertainment","Sony Computer Entertainment","2000-07-27JP","✔","",""
"Billiards Xciting•Simple 2000 Series Vol. 14: The BilliardJP","Agenda","D3 PublisherJP, AgetecEU","2002-11-14JP","✔","✔",""
"Billy the Wizard: Rocket Broomstick Racing","Data Design Interactive","Metro3D","2006-01-27EU","","✔",""
"Binchou-tan: Shiawasegoyomi","Marvelous Interactive","Marvelous Interactive","2007-04-26JP","✔","",""
"Bionicle","Argonaut Games","Electronic ArtsLego Interactive","2003-10-10EU","","✔","✔"
"Bionicle Heroes","Traveller's Tales","Eidos Interactive, Electronic ArtsJP","2006-11-14NA","✔","✔","✔"
"The Bishoujou Simulation RPG•Simple 2000 Series Vol. 21: The Bishoujo Simulation RPG – Moonlight TaleJP","Yuki","D3 Publisher","2003-04-24JP","✔","",""
"Bistro Cupid 2","Success","Success","2003-08-28JP","✔","",""
"Black","Criterion Games","Electronic Arts","2006-02-24EU","✔JP, KO","✔","✔"
"Black & Bruised","Digital Fiction","Majesco EntertainmentNA, Vivendi Universal GamesEU","2003-01-26NA","","✔","✔"
"Black Cat: Kikai Shikake no Tenshi","Capcom","Capcom","2006-03-30JP","✔","",""
"Black Market Bowling","Tantalus","Midas Interactive Entertainment","2005-06-10PAL","","✔",""
"Black/Matrix II","Flight-Plan","NEC Interchannel","2002-03-28JP","✔","",""
"Blade II","Mucky Foot","Activision","2002-09-02NA","","✔","✔"
"Blazing Souls","Neverland","Idea Factory","2006-01-17JP","✔JP, KO","",""
"Bleach: Blade Battlers","Racjin","Sony Computer Entertainment","2006-10-12JP","✔","",""
"Bleach: Blade Battlers 2","Racjin","Sony Computer Entertainment","2007-09-27JP","✔","",""
"Bleach: Erabareshi Tamashii","Aspect","Sony Computer Entertainment","2005-08-04JP","✔","",""
"Bleach: Hanatareshi Yabou","Dingo Inc.","Sony Computer Entertainment","2006-02-16JP","✔","",""
"Blitz: The League","Midway Games","Midway Games","2005-10-17NA","","","✔"
"Blokus Club with Bumpy Trot","Irem","Irem","2005-11-17JP","✔","",""
"Blood Omen 2","Crystal Dynamics","Eidos Interactive","2002-03-21NA","","✔","✔"
"Blood Will Tell: Tezuka Osamu's Dororo•DororoJP","Sega","Sega","2004-09-09JP","✔","✔","✔"
"Blood: The Last Vampire - Gekan","Sony Computer Entertainment","Sony Computer Entertainment","2000-12-21JP","✔","",""
"Blood: The Last Vampire - Joukan","Sony Computer Entertainment","Sony Computer Entertainment","2000-12-21JP","✔","",""
"Blood+: One Night Kiss","Grasshopper Manufacture","Namco Bandai Games","2006-08-31JP","✔","",""
"Blood+: Souyoku no Battle Rondo","Sony Computer Entertainment","Sony Computer Entertainment","2006-07-27JP","✔","",""
"BloodRayne","Terminal Reality","Majesco EntertainmentNA, Vivendi Universal GamesEU, Electronic ArtsJP","2002-10-15NA","✔","✔","✔"
"BloodRayne 2","Terminal Reality","Majesco EntertainmentNA, THQEU","2004-10-12NA","","✔","✔"
"Bloody Roar 3","Eighting","Hudson SoftJP, ActivisionNA, Virgin InteractiveEU","2001-03-01JP","✔","✔","✔"
"Bloody Roar 4","Eighting","Hudson SoftJP, NA, KonamiEU","2003-11-11NA","✔","✔","✔"
"BlowOut","Terminal Reality","Majesco EntertainmentNA, Zoo Digital PublishingEU","2003-11-06NA","","✔","✔"
"BMX XXX","Z-Axis","AKA Acclaim","2002-11-19NA","","✔","✔"
"Board Games Gallery","Phoenix Games","Phoenix Games","2005-03-25NA","","✔",""
"Bob the Builder Eye Toy","Atomic Planet Entertainment","Blast! Entertainment Ltd","2007-07-20EU","","✔",""
"Bob the Builder: Festival of Fun","Atomic Planet Entertainment","Blast! Entertainment Ltd","2007-11-30EU","","✔",""
"Boboboubo Boubobo: Hajike Matsuri","Hudson Soft","Hudson Soft","2003-03-20JP","✔","",""
"Boboboubo Boubobo: Shuumare! Taikan Boubobo","Hudson Soft","Hudson Soft","2004-12-16JP","✔","",""
"Bode Miller Alpine Skiing•Ski Alpin 2006EU","49Games","RTLEU, Valcon GamesNA","2005-12-07EU","","✔","✔"
"The Boku no Machidzukuri 2 – Machi-ing Maker 2.1•Simple 2000 Series Vol. 121: The Boku no Machidzukuri 2 – Machi-ing Maker 2.1JP","Indi","D3 Publisher","2007-11-29JP","✔","",""
"Boku no Natsuyasumi 2: Umi no Bouken Hen","Millennium Kitchen","Sony Computer Entertainment","2002-07-11JP","✔","",""
"Boku wa Chiisai","Victor Interactive Software","Victor Interactive Software","2002-07-11JP","✔","",""
"Bokura no Kazoku","Millennium Kitchen","Sony Computer Entertainment","2005-03-24JP","✔","",""
"Bolt","Avalanche Software","Disney Interactive Studios","2008-11-10NA","","✔","✔"
"Bombastic•Xi GoJP","Shift","CapcomEU, NA, Sony Computer EntertainmentJP","2002-12-19JP","✔","✔","✔"
"Bomberman Hardball•Bomberman BattlesJP","Hudson Soft","Hudson SoftJPUbisoftEU","2004-10-07JP","✔","✔",""
"Bomberman Jetters","Hudson Soft","Hudson Soft","2002-12-19JP","✔","",""
"Bomberman Kart","Racjin, Hudson Soft","Hudson SoftJPKonamiEU","2001-12-20JP","✔","✔",""
"Bomberman Kart DX","Racjin, Hudson Soft","Hudson Soft","2004-04-15JP","✔","",""
"Bomberman Land 2","Racjin","Hudson Soft","2003-07-17JP","✔","",""
"Bomberman Land 3","Racjin","Hudson Soft","2005-08-04JP","✔","",""
"Boogie","Pipeworks Studios","Electronic Arts","2007-11-12NA","","✔","✔"
"Bouken Jidai Katsugeki: Goemon","Konami","Konami","2000-12-21JP","✔","",""
"Bouken Shounen Club Gahou","Jorudan","Jorudan","2003-09-25JP","✔","",""
"Bouken-Ou Beet: Darkness Century","Shade","Bandai","2005-04-28JP","✔","",""
"Boukoku no Aegis 2035: Warship Gunner","Koei","Koei","2005-07-21JP","✔","",""
"The Bouncer","DreamFactory","SquareSoftJP, Square EANA, Sony Computer EntertainmentEU","2000-12-23JP","✔","✔","✔"
"Bowling Xciting•Simple 2000 Series Vol. 24: The Bowling HyperJP","Tamsoft","D3 PublisherJP, AgetecEU","2003-03-27JP","✔","✔",""
"Boxing Champions•Simple 2000 Series Vol. 7: The Boxing – Real First FighterJP","Tamsoft","D3 PublisherJP, Midas Interactive EntertainmentEU","2002-07-25JP","✔","✔",""
"Bratz: Forever Diamondz","Blitz Games","THQ","2006-09-18NA","","✔","✔"
"Bratz: Girlz Really Rock","Blitz Games","THQ","2008-10-13NA","","✔","✔"
"Bratz: The Movie","Blitz Games","THQ","2007-09-25NA","","✔","✔"
"Bratz: Rock Angelz","Blitz Games","THQ","2005-10-06NA","","✔","✔"
"Brave Story: Wataru no Bouken","SIMS Co., Ltd.","Sony Computer Entertainment","2006-07-06JP","✔","",""
"Brave: The Search for Spirit Dancer","Vis Entertainment","Sony Computer EntertainmentEU, SouthPeak GamesNA","2005-09-02EU","","✔","✔"
"Bravo Music: Chou-Meikyokuban","Sony Computer Entertainment","Sony Computer Entertainment","2002-01-17JP","✔","",""
"Bravo Music: Christmas Edition","Sony Computer Entertainment","Sony Computer Entertainment","2001-11-22JP","✔","",""
"Breath of Fire: Dragon Quarter•Breath of Fire V: Dragon QuarterJP, KO","Capcom Production Studio 3","Capcom","2002-11-14JP","✔JP, KO","✔","✔"
"Breeders' Cup World Thoroughbred Championships","4J Studios","Bethesda Studios","2005-09-29NA","","","✔"
"Brian Lara International Cricket 2005•Ricky Ponting International Cricket 2005AU","Codemasters","Codemasters","2005-07-21EU","","✔",""
"Brian Lara International Cricket 2007•Ricky Ponting International Cricket 2007AU•Yuvraj Singh International Cricket 2007IN","Codemasters","Codemasters","2007-03-23EU","","✔",""
"Britney's Dance Beat","Metro Graphics","THQ","2002-05-08NA","✔","✔","✔"
"Broken Sword: The Sleeping Dragon•Baphomets Fluch: Der schlafende DracheDE•Broken Sword: Nemureru Ryuu no DensetsuJP","Revolution Software","THQEU, Marvelous EntertainmentJP","2003-11-14EU","✔","✔",""
"Brothers in Arms: Earned in Blood•Brothers in Arms: Meiyo no DaishouJP","Gearbox Software","Ubisoft","2005-10-27NA","✔","✔","✔"
"Brothers in Arms: Road to Hill 30•Brother in Arms: Road to Hill 30KO","Gearbox Software","Ubisoft","2005-02-15NA","✔JP, KO","✔","✔"
"Brunswick Pro Bowling","Point of View","Crave EntertainmentNA, 505 GamesPAL","2007-08-21NA","","✔","✔"
"Buccaneer•Simple 2000 Series Vol. 96: The Kaizoku – Gaikotsu Ippaire~tsu!JP","DigitalWare","D3 PublisherJP, Essential GamesEU","2006-04-06JP","✔","✔",""
"Buffy the Vampire Slayer: Chaos Bleeds","Eurocom","Vivendi Universal Games","2003-08-27NA","","✔","✔"
"Bujingai: The Forsaken City•BujingaiJP•Bujingai: SwordmasterEU","Taito","TaitoJP, BAM! EntertainmentNA, 505 Game StreetEU","2003-12-25JP","✔","✔","✔"
"Bully•Canis Canem EditPAL","Rockstar Vancouver","Rockstar GamesNA, PAL, Bethesda SoftworksJP","2006-10-17NA","✔","✔","✔"
"Burnout","Criterion Games","Acclaim Entertainment","2001-11-01NA","","✔","✔"
"Burnout 2: Point of Impact","Criterion Games","Acclaim EntertainmentEU, NA, Sammy StudiosJP","2002-09-30NA","✔","✔","✔"
"Burnout 3: Takedown","Criterion Games","EA Games","2004-09-07NA","✔","✔","✔"
"Burnout Dominator","Criterion Games","Electronic Arts","2007-03-06NA","✔","✔","✔"
"Burnout Revenge","Criterion Games","Electronic Arts","2005-09-13NA","✔","✔","✔"
"Busin 0: Wizardry Alternative Neo","Racjin","Atlus","2003-11-13JP","✔","",""
"Busou Renkin: Yokosu Papillon Park e","Shade","Marvelous","2007-06-28JP","✔","",""
"Bust-A-Bloc•Simple 2000 Series Vol. 5: The Block Kuzushi HyperJP","Tamsoft","D3 PublisherJP, Midas Interactive EntertainmentEU","2002-05-30JP","✔","✔",""
"Butt-Ugly Martians: Zoom or Doom!","Crave Entertainment","Vivendi Universal GamesEU, Crave EntertainmentNA","2002-12-06EU","","✔","✔"
"Buzz!: The BIG Quiz","Relentless Software","Sony Computer Entertainment","2006-03-17EU","","✔",""
"Buzz!: Brain of the World","Relentless Software","Sony Computer Entertainment","2009-02-13NO","","✔",""
"Buzz!: The Hollywood Quiz","Relentless Software","Sony Computer Entertainment","2007-10-19EU","","✔EU, AU","✔"
"Buzz!: The Mega Quiz","Relentless Software","Sony Computer Entertainment","2007-04-27EU","","✔","✔"
"Buzz!: The Music Quiz","Relentless Software","SCEE","2005-10-21EU","","✔",""
"Buzz!: The Pop Quiz","Relentless Software","Sony Computer Entertainment","2008-03-14EU","","✔EU, AU",""
"Buzz!: The Schools Quiz","Relentless Software","Sony Computer Entertainment","2008-01-11EU","","✔",""
"Buzz!: The Sports Quiz","Relentless Software","Sony Computer Entertainment","2006-11-10EU","","✔",""
"Buzz! Junior: Ace Racers","Cohort Studios","Sony Computer Entertainment","2008-02-24EU","","✔",""
"Buzz! Junior: Dino Den","Cohort Studios","Sony Computer Entertainment","2008-02-22EU","","✔",""
"Buzz! Junior: Jungle Party","Magenta Software","Sony Computer Entertainment","2006-10-20EU","","✔","✔"
"Buzz! Junior: Monster Rumble","FreeStyleGames & Magenta Software","Sony Computer Entertainment","2007-11-02EU","","✔",""
"Buzz! Junior: Robo Jam","Cohort Studios","Sony Computer Entertainment","2007-05-27EU","","✔","✔"
"C@M-Station","Arduc","Arduc","2005-04-28JP","✔",""
"Cabela's African Safari","Sand Grain Studios","Activision","2006-10-17NA","","✔AU","✔"
"Cabela's Alaskan Adventures","Sand Grain Studios","Activision","2006-09-19NA","","","✔"
"Cabela's Big Game Hunter (2002)","Sand Grain Studios","Activision","2002-11-26NA","","✔","✔"
"Cabela's Big Game Hunter (2007)","Sand Grain Studios","Activision","2007-11-06NA","","✔","✔"
"Cabela's Big Game Hunter 2005 Adventures","Sand Grain Studios","Activision","2004-11-10NA","","✔","✔"
"Cabela's Dangerous Hunts","Sand Grain Studios","ActivisionNA, Zoo Digital PublishingEU","2003-11-11NA","","✔","✔"
"Cabela's Dangerous Hunts 2","Sand Grain Studios","Activision","2005-11-16NA","","✔AU","✔"
"Cabela's Dangerous Hunts 2009•Cabela's Dangerous AdventuresPAL","Sand Grain Studios","Activision","2008-09-23NA","","✔","✔"
"Cabela's Deer Hunt: 2004 Season•Cabela's Deer Hunt: Season OpenerNA","Sand Grain Studios","Activision","2003-08-27NA","","","✔"
"Cabela's Deer Hunt: 2005 Season","Sand Grain Studios","Activision","2004-08-26NA","","","✔"
"Cabela's Legendary Adventures","Sand Grain Studios","Activision","2008-09-17NA","","","✔"
"Cabela's Monster Bass","Sand Grain Studios","Activision","2007-11-19NA","","","✔"
"Cabela's North American Adventures","Fun Labs","Activision","2010-09-14NA","","","✔"
"Cabela's Outdoor Adventures (2005)","Sand Grain Studios","ActivisionNA, Zoo Digital PublishingEU","2005-09-14NA","","✔","✔"
"Cabela's Outdoor Adventures (2009)","Sand Grain Studios","Activision","2009-09-09NA","","","✔"
"Cabela's Trophy Bucks","Sand Grain Studios","Activision","2007-09-19NA","","","✔"
"Cafe Lindbergh: Summer Season","PrincessSoft","PrincessSoft","2005-03-31JP","✔","",""
"Cafe Little Wish: Mahou no Recipe","PrincessSoft","PrincessSoft","2003-05-29JP","✔","",""
"Cake Mania: Baker's Challenge","Coresoft","Destineer","2008-10-07NA","","","✔"
"Call of Duty: Finest Hour","Spark Unlimited","ActivisionEU, NA, CapcomJP","2004-11-16NA","✔","✔","✔"
"Call of Duty: World at War – Final Fronts","Rebellion Developments","Activision","2008-11-10NA","✔KO","✔","✔"
"Call of Duty 2: Big Red One","Treyarch","ActivisionNA, PAL, KonamiJP","2005-11-01NA","✔","✔","✔"
"Call of Duty 3","Treyarch","Activision","2006-11-07NA","","✔","✔"
"Cambrian QTS: Kaseki ni Nattemo","Tenky","Global A","2003-12-11JP","✔","",""
"Canaria","Frontwing","NEC Interchannel","2003-04-10JP","✔","",""
"Canvas: Motif of Sepia•Canvas: Sepia-iro no MotifJP","Cocktail Soft","NEC Interchannel","2003-04-10JP","✔","",""
"Canvas 2: Deep Red-colored Palette•Canvas 2: Akane-iro no PaletteJP","Kadokawa Games","NEC Interchannel","2006-01-26JP","✔","",""
